ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,implied_volatility,probability_itm,mid_price,fedfunds_rate
O:SMCI180921C00030000,2018-08-21,2018-09-21,SMCI,C,300.0,107,0.1,0.16,0.16,0.1,16,1534824000000000000,31,Monthly,,,0.13,0.02
O:SMCI180921C00035000,2018-08-21,2018-09-21,SMCI,C,350.0,5,0.05,0.05,0.05,0.05,1,1534824000000000000,31,Monthly,,,0.05,0.02
O:SMCI180921C00012500,2018-08-22,2018-09-21,SMCI,C,125.0,42,2.25,4.0,4.0,2.25,8,1534910400000000000,30,Monthly,,,3.125,0.02
O:SMCI180921C00015000,2018-08-22,2018-09-21,SMCI,C,150.0,171,0.9,1.8,2.6,0.9,25,1534910400000000000,30,Monthly,,,1.75,0.02
O:SMCI180921C00017500,2018-08-22,2018-09-21,SMCI,C,175.0,695,0.29,0.6,1.4,0.29,72,1534910400000000000,30,Monthly,,,0.845,0.02
O:SMCI180921C00020000,2018-08-22,2018-09-21,SMCI,C,200.0,702,0.2,0.3,0.65,0.1,62,1534910400000000000,30,Monthly,,,0.375,0.02
O:SMCI180921C00022500,2018-08-22,2018-09-21,SMCI,C,225.0,442,0.1,0.1,0.3,0.1,62,1534910400000000000,30,Monthly,,,0.2,0.02
O:SMCI180921C00025000,2018-08-22,2018-09-21,SMCI,C,250.0,104,0.05,0.05,0.1,0.03,10,1534910400000000000,30,Monthly,,,0.065,0.02
O:SMCI180921C00030000,2018-08-22,2018-09-21,SMCI,C,300.0,50,0.03,0.02,0.03,0.02,4,1534910400000000000,30,Monthly,,,0.025,0.02
O:SMCI180921C00025000,2018-08-24,2018-09-21,SMCI,C,250.0,5,0.05,0.05,0.05,0.05,1,1535083200000000000,28,Monthly,,,0.05,0.02
O:SMCI181019C00015000,2018-09-17,2018-10-19,SMCI,C,150.0,1,5.2,5.2,5.2,5.2,1,1537156800000000000,32,Monthly,,,5.2,0.02
O:SMCI181019C00030000,2018-09-17,2018-10-19,SMCI,C,300.0,1,0.05,0.05,0.05,0.05,1,1537156800000000000,32,Monthly,,,0.05,0.02
O:SMCI181019C00015000,2018-09-18,2018-10-19,SMCI,C,150.0,3,5.2,5.2,5.2,5.2,2,1537243200000000000,31,Monthly,,,5.2,0.02
