ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:XLK161216C00043000,2016-11-15,2016-12-16,XLK,C,43.0,141.0,3.82,3.8,-13.13,YES,3.8,8.84,3.82,8.88,3.9,3.8,10.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00045000,2016-11-15,2016-12-16,XLK,C,45.0,42.0,1.85,1.91,-9.09,YES,1.91,4.24,1.85,4.11,2.17,1.85,7.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,2.1475
O:XLK161216C00046000,2016-11-15,2016-12-16,XLK,C,46.0,72.0,1.12,1.28,-7.07,YES,1.28,2.78,1.12,2.43,1.37,1.12,14.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00047000,2016-11-15,2016-12-16,XLK,C,47.0,930.0,0.52,0.7,-5.05,YES,0.7,1.49,0.52,1.11,0.74,0.49,56.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00048000,2016-11-15,2016-12-16,XLK,C,48.0,140.0,0.25,0.25,-3.03,YES,0.25,0.52,0.25,0.52,0.29,0.2,18.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00049000,2016-11-15,2016-12-16,XLK,C,49.0,7.0,0.07,0.08,-1.01,YES,0.08,0.16,0.07,0.14,0.08,0.07,3.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00050000,2016-11-15,2016-12-16,XLK,C,50.0,1.0,0.01,0.01,1.01,NO,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1479186000000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00043000,2016-11-16,2016-12-16,XLK,C,43.0,1.0,3.9,3.9,-13.13,YES,3.9,9.07,3.9,9.07,3.9,3.9,1.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00044000,2016-11-16,2016-12-16,XLK,C,44.0,215.0,3.2,3.2,-11.11,YES,3.2,7.27,3.2,7.27,3.2,3.2,42.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00045000,2016-11-16,2016-12-16,XLK,C,45.0,6.0,2.22,2.31,-9.09,YES,2.31,5.13,2.22,4.93,2.31,2.22,5.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
