ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AVGO210716C00480000,2021-07-12,2021-07-16,AVGO,C,48.0,1309,1.8,2.0,-2.83,YES,2.17,4.39,0.59,1.19,3.75,0.59,459,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,2.17,7.59,0.5747,0.6729
O:AVGO210716C00482500,2021-07-12,2021-07-16,AVGO,C,48.25,585,1.52,1.64,-2.33,NO,1.45,2.95,0.05,0.1,2.86,0.05,298,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,1.45,5.79,0.4692,0.6755
O:AVGO210716C00485000,2021-07-12,2021-07-16,AVGO,C,48.5,1800,1.06,1.35,-1.82,NO,1.36,2.75,0.01,0.02,2.71,0.01,991,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,1.36,5.49,0.4024,0.6612
O:AVGO210716C00487500,2021-07-12,2021-07-16,AVGO,C,48.75,924,0.9,1.15,-1.32,NO,1.22,2.47,0.29,0.59,2.15,0.29,513,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,1.22,4.35,0.3816,0.6224
O:AVGO210716C00490000,2021-07-12,2021-07-16,AVGO,C,49.0,3660,0.55,0.88,-0.81,NO,1.05,2.13,0.16,0.32,1.94,0.16,1550,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,1.05,3.93,0.3215,0.589
O:AVGO210716C00492500,2021-07-12,2021-07-16,AVGO,C,49.25,823,0.5,0.68,-0.3,NO,0.85,1.71,0.11,0.22,1.58,0.11,381,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.85,3.2,0.2921,0.5337
O:AVGO210716C00495000,2021-07-12,2021-07-16,AVGO,C,49.5,3331,0.3,0.51,0.2,NO,0.7,1.42,0.05,0.1,1.35,0.05,1446,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.7,2.73,0.2704,0.466
O:AVGO210716C00500000,2021-07-12,2021-07-16,AVGO,C,50.0,15939,0.18,0.28,1.21,NO,0.4,0.82,0.01,0.02,0.8,0.01,5205,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.4,1.62,0.2536,0.32
O:AVGO210716C00505000,2021-07-12,2021-07-16,AVGO,C,50.5,791,0.1,0.18,2.23,NO,0.28,0.56,0.05,0.1,0.5,0.05,374,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.28,1.01,0.2725,0.216
O:AVGO210716C00510000,2021-07-12,2021-07-16,AVGO,C,51.0,3355,0.08,0.11,3.24,NO,0.17,0.34,0.02,0.04,0.32,0.02,702,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.17,0.65,0.2855,0.1398
O:AVGO210716C00515000,2021-07-12,2021-07-16,AVGO,C,51.5,146,0.06,0.08,4.25,NO,0.12,0.25,0.03,0.06,0.22,0.03,94,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.12,0.45,0.3129,0.099
O:AVGO210716C00520000,2021-07-12,2021-07-16,AVGO,C,52.0,200,0.04,0.08,5.26,NO,0.09,0.18,0.02,0.04,0.16,0.02,76,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.09,0.32,0.3644,0.0864
O:AVGO210716C00525000,2021-07-12,2021-07-16,AVGO,C,52.5,65,0.02,0.06,6.28,NO,0.06,0.13,0.02,0.04,0.11,0.02,30,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.06,0.22,0.3867,0.0638
O:AVGO210716C00530000,2021-07-12,2021-07-16,AVGO,C,53.0,46,0.02,0.07,7.29,NO,0.06,0.11,0.01,0.02,0.1,0.01,37,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.06,0.2,0.4475,0.0636
O:AVGO210716C00540000,2021-07-12,2021-07-16,AVGO,C,54.0,110,0.04,0.04,9.31,NO,0.06,0.12,0.04,0.08,0.08,0.04,34,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.06,0.16,0.4805,0.0363
O:AVGO210716C00550000,2021-07-12,2021-07-16,AVGO,C,55.0,65,0.02,0.02,11.34,NO,0.04,0.07,0.02,0.04,0.05,0.02,26,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.04,0.1,0.4994,0.0188
O:AVGO210716C00560000,2021-07-12,2021-07-16,AVGO,C,56.0,20,0.14,0.02,13.36,NO,0.08,0.16,0.02,0.04,0.14,0.02,7,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.08,0.28,0.5691,0.0164
O:AVGO210716C00570000,2021-07-12,2021-07-16,AVGO,C,57.0,6,0.03,0.02,15.38,NO,0.02,0.05,0.02,0.04,0.03,0.02,3,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.02,0.06,0.6364,0.0146
O:AVGO210716C00580000,2021-07-12,2021-07-16,AVGO,C,58.0,11,0.01,0.02,17.41,NO,0.02,0.03,0.01,0.02,0.02,0.01,2,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.02,0.04,0.7014,0.0131
O:AVGO210716C00590000,2021-07-12,2021-07-16,AVGO,C,59.0,23,0.02,0.01,19.43,NO,0.02,0.05,0.01,0.02,0.04,0.01,9,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.02,0.08,0.6998,0.0069
O:AVGO210716C00600000,2021-07-12,2021-07-16,AVGO,C,60.0,13,0.01,0.04,21.46,NO,0.02,0.05,0.01,0.02,0.04,0.01,4,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.02,0.08,0.9119,0.0186
O:AVGO210716C00720000,2021-07-12,2021-07-16,AVGO,C,72.0,3,0.01,0.01,45.75,NO,0.0,0.01,0.0,0.0,0.01,0.0,3,1626062400000000000,4,48.13,48.58,49.4,47.33,49.4,46.81,48.03,48.03,0.001,0.0,0.02,1.3504,0.0031
O:AVGO210723C00440000,2021-07-19,2021-07-23,AVGO,C,44.0,1,5.5,5.5,-5.58,YES,5.5,11.8,5.5,11.8,5.5,5.5,1,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,5.5,11.8,2.1555,0.5563
O:AVGO210723C00452500,2021-07-19,2021-07-23,AVGO,C,45.25,3,2.9,2.9,-2.9,YES,2.9,6.22,2.9,6.22,2.9,2.9,1,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,2.9,6.22,1.1258,0.5756
O:AVGO210723C00455000,2021-07-19,2021-07-23,AVGO,C,45.5,2,2.2,2.2,-2.36,YES,2.2,4.72,2.2,4.72,2.2,2.2,1,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,2.2,4.72,0.8268,0.5921
O:AVGO210723C00457500,2021-07-19,2021-07-23,AVGO,C,45.75,11,2.08,2.54,-1.82,YES,2.12,4.54,1.69,3.63,2.54,1.69,8,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,2.12,5.45,1.083,0.5421
O:AVGO210723C00460000,2021-07-19,2021-07-23,AVGO,C,46.0,32,1.5,2.22,-1.29,YES,1.87,4.01,1.5,3.22,2.24,1.5,17,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,1.87,4.81,0.9855,0.5295
O:AVGO210723C00462500,2021-07-19,2021-07-23,AVGO,C,46.25,34,1.3,1.9,-0.75,YES,1.6,3.44,1.3,2.79,1.91,1.3,19,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,1.6,4.1,0.887,0.5139
O:AVGO210723C00465000,2021-07-19,2021-07-23,AVGO,C,46.5,110,1.23,1.54,-0.21,YES,1.21,2.6,0.84,1.8,1.58,0.84,48,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,1.21,3.39,0.7662,0.4947
O:AVGO210723C00467500,2021-07-19,2021-07-23,AVGO,C,46.75,41,0.95,1.1,0.32,YES,0.99,2.12,0.66,1.42,1.32,0.66,24,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.99,2.83,0.602,0.4672
O:AVGO210723C00470000,2021-07-19,2021-07-23,AVGO,C,47.0,76,0.68,0.75,0.86,YES,0.81,1.74,0.5,1.07,1.12,0.5,40,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.81,2.4,0.4791,0.4226
O:AVGO210723C00472500,2021-07-19,2021-07-23,AVGO,C,47.25,18,0.46,0.68,1.39,YES,0.62,1.34,0.46,0.99,0.79,0.46,12,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.62,1.7,0.4952,0.3848
O:AVGO210723C00475000,2021-07-19,2021-07-23,AVGO,C,47.5,94,0.44,0.5,1.93,YES,0.48,1.03,0.31,0.67,0.65,0.31,32,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.48,1.39,0.4466,0.3327
O:AVGO210723C00477500,2021-07-19,2021-07-23,AVGO,C,47.75,24,0.31,0.41,2.47,YES,0.34,0.74,0.24,0.52,0.45,0.24,12,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.34,0.97,0.4397,0.2903
O:AVGO210723C00480000,2021-07-19,2021-07-23,AVGO,C,48.0,153,0.25,0.26,3.0,YES,0.3,0.64,0.19,0.41,0.41,0.19,48,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.3,0.88,0.387,0.2265
O:AVGO210723C00482500,2021-07-19,2021-07-23,AVGO,C,48.25,25,0.25,0.2,3.54,YES,0.22,0.46,0.13,0.28,0.3,0.13,13,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.22,0.64,0.3811,0.1863
O:AVGO210723C00485000,2021-07-19,2021-07-23,AVGO,C,48.5,61,0.15,0.15,4.08,NO,0.17,0.36,0.1,0.21,0.24,0.1,33,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.17,0.52,0.3747,0.1496
O:AVGO210723C00487500,2021-07-19,2021-07-23,AVGO,C,48.75,25,0.15,0.12,4.61,NO,0.12,0.26,0.09,0.19,0.15,0.09,11,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.12,0.32,0.3784,0.1234
O:AVGO210723C00490000,2021-07-19,2021-07-23,AVGO,C,49.0,63,0.1,0.1,5.15,NO,0.09,0.19,0.06,0.13,0.12,0.06,30,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.09,0.26,0.3869,0.1038
O:AVGO210723C00492500,2021-07-19,2021-07-23,AVGO,C,49.25,5,0.08,0.08,5.69,NO,0.08,0.16,0.07,0.15,0.08,0.07,4,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.08,0.17,0.391,0.0851
O:AVGO210723C00495000,2021-07-19,2021-07-23,AVGO,C,49.5,62,0.08,0.08,6.22,NO,0.06,0.13,0.04,0.09,0.08,0.04,28,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.06,0.17,0.4172,0.0802
O:AVGO210723C00497500,2021-07-19,2021-07-23,AVGO,C,49.75,35,0.06,0.05,6.76,NO,0.06,0.12,0.05,0.11,0.06,0.05,13,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.06,0.13,0.3979,0.0558
O:AVGO210723C00500000,2021-07-19,2021-07-23,AVGO,C,50.0,125,0.04,0.04,7.3,NO,0.04,0.08,0.02,0.04,0.05,0.02,28,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.04,0.11,0.4027,0.0454
O:AVGO210723C00505000,2021-07-19,2021-07-23,AVGO,C,50.5,3,0.02,0.04,8.37,NO,0.03,0.06,0.02,0.04,0.04,0.02,2,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.03,0.09,0.4475,0.041
O:AVGO210723C00510000,2021-07-19,2021-07-23,AVGO,C,51.0,9,0.02,0.02,9.44,NO,0.02,0.04,0.02,0.04,0.02,0.02,3,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.02,0.04,0.4356,0.0227
O:AVGO210723C00515000,2021-07-19,2021-07-23,AVGO,C,51.5,2,0.03,0.03,10.52,NO,0.03,0.06,0.03,0.06,0.03,0.03,2,1626667200000000000,4,46.35,46.57,46.6,45.76,46.6,48.32,48.36,48.36,0.001,0.03,0.06,0.507,0.0281
