ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLE230127C00084000,2023-01-23,2023-01-27,XLE,C,42.0,6.0,7.29,6.96,-7.28,YES,7.175,15.67,6.96,15.2,7.39,6.96,6.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,2.8264,0.5435,7.175,16.14
O:XLE230127C00084500,2023-01-23,2023-01-27,XLE,C,42.25,11.0,6.66,6.8,-6.73,YES,6.73,14.7,6.66,14.54,6.8,6.66,2.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,2.812,0.5363,6.73,14.85
O:XLE230127C00085000,2023-01-23,2023-01-27,XLE,C,42.5,42.0,6.51,6.32,-6.18,YES,6.42,14.02,6.3,13.76,6.54,6.3,8.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,2.6158,0.539,6.42,14.28
O:XLE230127C00085500,2023-01-23,2023-01-27,XLE,C,42.75,3.0,5.38,5.17,-5.63,YES,5.275,11.52,5.17,11.29,5.38,5.17,2.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,2.042,0.5661,5.275,11.75
O:XLE230127C00086000,2023-01-23,2023-01-27,XLE,C,43.0,107.0,5.05,5.02,-5.08,YES,5.135,11.21,4.95,10.81,5.32,4.95,13.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,2.0364,0.5557,5.135,11.62
O:XLE230127C00086500,2023-01-23,2023-01-27,XLE,C,43.25,2.0,4.73,4.14,-4.53,YES,4.4350000000000005,9.68,4.14,9.04,4.73,4.14,2.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,1.6204,0.5757,4.4350000000000005,10.33
O:XLE230127C00087000,2023-01-23,2023-01-27,XLE,C,43.5,70.0,4.3,3.78,-3.97,YES,4.105,8.96,3.7,8.08,4.51,3.7,31.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,1.4987,0.5726,4.105,9.85
O:XLE230127C00087500,2023-01-23,2023-01-27,XLE,C,43.75,5.0,3.7,3.35,-3.42,YES,3.74,8.17,3.35,7.32,4.13,3.35,5.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,1.3385,0.5721,3.74,9.02
O:XLE230127C00088000,2023-01-23,2023-01-27,XLE,C,44.0,87.0,3.5,2.84,-2.87,YES,3.26,7.12,2.84,6.2,3.68,2.84,30.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,1.1348,0.5752,3.26,8.04
O:XLE230127C00088500,2023-01-23,2023-01-27,XLE,C,44.25,89.0,2.9,3.03,-2.32,YES,3.1,6.77,2.85,6.22,3.35,2.85,21.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,1.3156,0.5418,3.1,7.32
