ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:GOOG200221C01300000,2020-01-24,2020-02-21,GOOG,C,65.0,2.0,8.77,8.77,-11.37,YES,8.77,13.5,8.77,13.5,8.77,8.77,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3557,0.8826
O:GOOG200221C01330000,2020-01-24,2020-02-21,GOOG,C,66.5,6.0,8.18,7.76,-9.32,YES,7.76,11.67,8.18,11.67,8.19,7.76,5.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.411,0.7921
O:GOOG200221C01340000,2020-01-24,2020-02-21,GOOG,C,67.0,1.0,6.86,6.86,-8.64,YES,6.86,10.23,6.86,10.23,6.86,6.86,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.31,0.8471
O:GOOG200221C01350000,2020-01-24,2020-02-21,GOOG,C,67.5,2.0,6.49,6.49,-7.96,YES,6.49,9.62,6.49,9.62,6.49,6.49,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3198,0.8175
O:GOOG200221C01355000,2020-01-24,2020-02-21,GOOG,C,67.75,3.0,6.57,6.57,-7.62,YES,6.57,9.7,6.57,9.7,6.57,6.57,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3717,0.7674
O:GOOG200221C01360000,2020-01-24,2020-02-21,GOOG,C,68.0,2.0,6.38,6.38,-7.28,YES,6.38,9.38,6.38,9.38,6.38,6.38,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3717,0.7563
O:GOOG200221C01380000,2020-01-24,2020-02-21,GOOG,C,69.0,2.0,6.0,5.11,-5.91,YES,5.11,7.41,6.0,7.41,6.0,5.11,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2849,0.773
O:GOOG200221C01385000,2020-01-24,2020-02-21,GOOG,C,69.25,18.0,5.72,5.32,-5.57,YES,5.32,7.68,5.72,7.63,5.72,5.28,8.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3488,0.7116
O:GOOG200221C01390000,2020-01-24,2020-02-21,GOOG,C,69.5,18.0,5.5,5.11,-5.23,YES,5.11,7.36,5.5,7.32,5.5,5.08,8.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3437,0.7019
O:GOOG200221C01400000,2020-01-24,2020-02-21,GOOG,C,70.0,52.0,5.06,4.41,-4.55,YES,4.41,6.3,5.06,6.3,5.06,4.41,15.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2914,0.7095
O:GOOG200221C01405000,2020-01-24,2020-02-21,GOOG,C,70.25,1.0,4.28,4.28,-4.21,YES,4.28,6.09,4.28,6.09,4.28,4.28,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.298,0.6896
O:GOOG200221C01410000,2020-01-24,2020-02-21,GOOG,C,70.5,1.0,4.38,4.38,-3.87,YES,4.38,6.21,4.38,6.21,4.38,4.38,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.336,0.652
O:GOOG200221C01420000,2020-01-24,2020-02-21,GOOG,C,71.0,2.0,3.81,3.77,-3.18,YES,3.77,5.31,3.81,5.31,3.81,3.77,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2966,0.6436
O:GOOG200221C01425000,2020-01-24,2020-02-21,GOOG,C,71.25,1.0,3.61,3.61,-2.84,YES,3.61,5.07,3.61,5.07,3.61,3.61,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2964,0.6276
O:GOOG200221C01430000,2020-01-24,2020-02-21,GOOG,C,71.5,1.0,3.29,3.29,-2.5,YES,3.29,4.6,3.29,4.6,3.29,3.29,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2745,0.6224
O:GOOG200221C01435000,2020-01-24,2020-02-21,GOOG,C,71.75,2.0,3.85,3.76,-2.16,YES,3.76,5.24,3.85,5.24,3.85,3.76,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3552,0.5737
O:GOOG200221C01450000,2020-01-24,2020-02-21,GOOG,C,72.5,36.0,3.33,2.7,-1.14,YES,2.7,3.72,3.33,3.72,3.33,2.7,15.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.274,0.5515
O:GOOG200221C01455000,2020-01-24,2020-02-21,GOOG,C,72.75,10.0,3.32,3.33,-0.8,YES,3.33,4.57,3.32,4.56,3.33,3.32,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3695,0.5157
O:GOOG200221C01460000,2020-01-24,2020-02-21,GOOG,C,73.0,17.0,3.14,2.45,-0.46,YES,2.45,3.36,3.14,3.36,3.14,2.45,11.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2761,0.5152
O:GOOG200221C01462500,2020-01-24,2020-02-21,GOOG,C,73.12,2.0,2.45,2.44,-0.29,YES,2.44,3.33,2.45,3.33,2.45,2.44,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2824,0.5058
