ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,fedfunds_rate
O:LQD170317P00111000,2017-02-16,2017-03-17,LQD,P,1110.0,1.0,0.05,0.05,0.05,0.05,1.0,1487221200000000000,29.0,Monthly,0.0066
O:LQD170317P00115000,2017-02-16,2017-03-17,LQD,P,1150.0,1.0,0.15,0.15,0.15,0.15,1.0,1487221200000000000,29.0,Monthly,0.0066
O:LQD170317P00117000,2017-02-16,2017-03-17,LQD,P,1170.0,1483.0,0.6,0.6,0.64,0.6,8.0,1487221200000000000,29.0,Monthly,0.0066
O:LQD170317C00116000,2017-02-17,2017-03-17,LQD,C,1160.0,1.0,1.9,1.9,1.9,1.9,1.0,1487307600000000000,28.0,Monthly,0.0066
O:LQD170317C00117000,2017-02-17,2017-03-17,LQD,C,1170.0,10000.0,1.02,1.02,1.02,1.02,1.0,1487307600000000000,28.0,Monthly,0.0066
O:LQD170317C00118000,2017-02-17,2017-03-17,LQD,C,1180.0,5043.0,0.45,0.4,0.5,0.4,8.0,1487307600000000000,28.0,Monthly,0.0066
O:LQD170317P00117000,2017-02-17,2017-03-17,LQD,P,1170.0,10028.0,0.46,0.5,0.5,0.46,5.0,1487307600000000000,28.0,Monthly,0.0066
O:LQD170421C00115000,2017-03-20,2017-04-21,LQD,C,1150.0,1.0,2.0,2.0,2.0,2.0,1.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421C00116000,2017-03-20,2017-04-21,LQD,C,1160.0,3.0,1.33,1.33,1.33,1.33,1.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421C00117000,2017-03-20,2017-04-21,LQD,C,1170.0,26.0,0.5,0.55,0.55,0.5,5.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421C00118000,2017-03-20,2017-04-21,LQD,C,1180.0,1.0,0.25,0.25,0.25,0.25,1.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421C00119000,2017-03-20,2017-04-21,LQD,C,1190.0,1.0,0.05,0.05,0.05,0.05,1.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421P00115000,2017-03-20,2017-04-21,LQD,P,1150.0,62.0,0.2,0.2,0.2,0.19,15.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421P00116000,2017-03-20,2017-04-21,LQD,P,1160.0,1.0,0.45,0.45,0.45,0.45,1.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421P00117000,2017-03-20,2017-04-21,LQD,P,1170.0,7.0,0.75,0.75,0.75,0.75,2.0,1489982400000000000,32.0,Monthly,0.0079
O:LQD170421C00115000,2017-03-21,2017-04-21,LQD,C,1150.0,2.0,2.5,2.5,2.5,2.5,1.0,1490068800000000000,31.0,Monthly,0.0079
