ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:IWM180112C00152000,2018-01-08,2018-01-12,IWM,C,152.0,308,0.56,0.81,-2.11,YES,0.66,0.43,0.5,0.32,0.83,0.5,14,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.66,0.53,,
O:IWM180112C00152500,2018-01-08,2018-01-12,IWM,C,152.5,21,0.44,0.7,-1.78,YES,0.57,0.37,0.44,0.28,0.7,0.44,6,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.57,0.45,,
O:IWM180112C00153000,2018-01-08,2018-01-12,IWM,C,153.0,567,0.33,0.58,-1.46,YES,0.45,0.29,0.3,0.2,0.6,0.3,48,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.45,0.38,,
O:IWM180112C00153500,2018-01-08,2018-01-12,IWM,C,153.5,425,0.33,0.43,-1.14,YES,0.36,0.24,0.24,0.15,0.5,0.24,49,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.36,0.32,,
O:IWM180112C00154000,2018-01-08,2018-01-12,IWM,C,154.0,2252,0.35,0.34,-0.82,YES,0.29,0.18,0.17,0.11,0.4,0.17,139,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.29,0.26,,
O:IWM180112C00154500,2018-01-08,2018-01-12,IWM,C,154.5,3268,0.23,0.29,-0.5,YES,0.21,0.14,0.12,0.08,0.3,0.12,183,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.21,0.19,,
O:IWM180112C00155000,2018-01-08,2018-01-12,IWM,C,155.0,4346,0.18,0.18,-0.17,YES,0.16,0.1,0.08,0.05,0.23,0.08,253,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.16,0.15,,
O:IWM180112C00155500,2018-01-08,2018-01-12,IWM,C,155.5,3319,0.14,0.13,0.15,YES,0.11,0.07,0.06,0.04,0.16,0.06,136,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.11,0.1,0.033,0.3567
O:IWM180112C00156000,2018-01-08,2018-01-12,IWM,C,156.0,2087,0.09,0.08,0.47,YES,0.08,0.05,0.04,0.03,0.11,0.04,140,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.08,0.07,0.048,0.1861
O:IWM180112C00156500,2018-01-08,2018-01-12,IWM,C,156.5,337,0.07,0.06,0.79,YES,0.05,0.03,0.03,0.02,0.07,0.03,38,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.05,0.05,0.0623,0.1193
O:IWM180112C00157000,2018-01-08,2018-01-12,IWM,C,157.0,1709,0.04,0.04,1.11,YES,0.03,0.02,0.02,0.01,0.04,0.02,72,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.03,0.03,0.0723,0.075
O:IWM180112C00157500,2018-01-08,2018-01-12,IWM,C,157.5,318,0.02,0.03,1.44,YES,0.02,0.02,0.02,0.01,0.03,0.02,19,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.02,0.02,0.0828,0.0521
O:IWM180112C00158000,2018-01-08,2018-01-12,IWM,C,158.0,120,0.01,0.02,1.76,YES,0.02,0.01,0.01,0.01,0.02,0.01,16,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.02,0.01,0.0903,0.0339
O:IWM180112C00158500,2018-01-08,2018-01-12,IWM,C,158.5,52,0.01,0.02,2.08,YES,0.01,0.01,0.01,0.01,0.02,0.01,6,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.01,0.01,0.1037,0.0299
O:IWM180112C00159000,2018-01-08,2018-01-12,IWM,C,159.0,15,0.01,0.01,2.4,NO,0.01,0.01,0.01,0.0,0.01,0.01,5,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.01,0.01,0.105,0.016
O:IWM180112C00159500,2018-01-08,2018-01-12,IWM,C,159.5,81,0.01,0.01,2.72,NO,0.01,0.0,0.0,0.0,0.01,0.0,10,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.01,0.0,0.1169,0.0145
O:IWM180112C00160000,2018-01-08,2018-01-12,IWM,C,160.0,111,0.01,0.0,3.05,NO,0.0,0.0,0.0,0.0,0.01,0.0,20,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.0,0.0,,
O:IWM180112C00160500,2018-01-08,2018-01-12,IWM,C,160.5,104,0.0,0.0,3.37,NO,0.0,0.0,0.0,0.0,0.0,0.0,55,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.0,0.0,,
