ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:ADBE160318C00087500,2016-03-14,2016-03-18,ADBE,C,5.83,248,0.5,0.58,0.78,0.5,63,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00090000,2016-03-14,2016-03-18,ADBE,C,6.0,347,0.3,0.32,0.49,0.27,48,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00092500,2016-03-14,2016-03-18,ADBE,C,6.17,308,0.12,0.18,0.18,0.12,35,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00095000,2016-03-14,2016-03-18,ADBE,C,6.33,103,0.06,0.08,0.08,0.06,18,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00097500,2016-03-14,2016-03-18,ADBE,C,6.5,110,0.02,0.04,0.04,0.02,7,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160415C00082500,2016-04-11,2016-04-15,ADBE,C,5.5,1,3.0,3.0,3.0,3.0,1,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00085000,2016-04-11,2016-04-15,ADBE,C,5.67,9,2.38,2.25,2.38,2.1,5,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00087500,2016-04-11,2016-04-15,ADBE,C,5.83,25,1.44,1.38,1.44,1.38,3,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00090000,2016-04-11,2016-04-15,ADBE,C,6.0,78,1.08,0.79,1.08,0.79,16,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00092500,2016-04-11,2016-04-15,ADBE,C,6.17,92,0.52,0.34,0.52,0.32,19,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00095000,2016-04-11,2016-04-15,ADBE,C,6.33,421,0.17,0.08,0.17,0.08,28,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00097500,2016-04-11,2016-04-15,ADBE,C,6.5,37,0.03,0.01,0.03,0.01,10,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160415C00100000,2016-04-11,2016-04-15,ADBE,C,6.67,23,0.0,0.01,0.01,0.0,6,1460347200000000000,4,94.43,92.95,94.81,92.84,94.81,95.16,95.22,95.22
O:ADBE160520C00087500,2016-05-16,2016-05-20,ADBE,C,5.83,3,2.18,2.44,2.44,2.18,2,1463371200000000000,4,95.91,97.23,97.76,95.91,97.76,96.88,97.12,97.12
O:ADBE160520C00090000,2016-05-16,2016-05-20,ADBE,C,6.0,25,1.82,1.82,1.82,1.82,2,1463371200000000000,4,95.91,97.23,97.76,95.91,97.76,96.88,97.12,97.12
O:ADBE160520C00092500,2016-05-16,2016-05-20,ADBE,C,6.17,33,0.97,1.23,1.34,0.95,10,1463371200000000000,4,95.91,97.23,97.76,95.91,97.76,96.88,97.12,97.12
O:ADBE160520C00095000,2016-05-16,2016-05-20,ADBE,C,6.33,61,0.44,0.67,0.75,0.42,14,1463371200000000000,4,95.91,97.23,97.76,95.91,97.76,96.88,97.12,97.12
O:ADBE160520C00097500,2016-05-16,2016-05-20,ADBE,C,6.5,199,0.13,0.21,0.28,0.12,40,1463371200000000000,4,95.91,97.23,97.76,95.91,97.76,96.88,97.12,97.12
O:ADBE160520C00100000,2016-05-16,2016-05-20,ADBE,C,6.67,76,0.04,0.04,0.04,0.02,25,1463371200000000000,4,95.91,97.23,97.76,95.91,97.76,96.88,97.12,97.12
O:ADBE160617C00095000,2016-06-13,2016-06-17,ADBE,C,6.33,4,0.7,0.57,0.7,0.57,2,1465790400000000000,4,96.87,96.96,98.08,96.7,98.08,95.58,97.39,97.39
O:ADBE160617C00097500,2016-06-13,2016-06-17,ADBE,C,6.5,206,0.21,0.18,0.31,0.18,21,1465790400000000000,4,96.87,96.96,98.08,96.7,98.08,95.58,97.39,97.39
O:ADBE160617C00100000,2016-06-13,2016-06-17,ADBE,C,6.67,101,0.06,0.02,0.06,0.02,17,1465790400000000000,4,96.87,96.96,98.08,96.7,98.08,95.58,97.39,97.39
O:ADBE160617C00105000,2016-06-13,2016-06-17,ADBE,C,7.0,6,0.0,0.0,0.0,0.0,3,1465790400000000000,4,96.87,96.96,98.08,96.7,98.08,95.58,97.39,97.39
O:ADBE160617C00110000,2016-06-13,2016-06-17,ADBE,C,7.33,1,0.0,0.0,0.0,0.0,1,1465790400000000000,4,96.87,96.96,98.08,96.7,98.08,95.58,97.39,97.39
O:ADBE160715C00080000,2016-07-11,2016-07-15,ADBE,C,5.33,3,4.28,4.28,4.28,4.28,1,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00082500,2016-07-11,2016-07-15,ADBE,C,5.5,3,3.65,3.65,3.65,3.65,1,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00085000,2016-07-11,2016-07-15,ADBE,C,5.67,54,3.12,3.12,3.12,3.12,2,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00087500,2016-07-11,2016-07-15,ADBE,C,5.83,8,2.44,2.46,2.5,2.44,6,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00090000,2016-07-11,2016-07-15,ADBE,C,6.0,206,1.75,1.78,1.84,1.75,28,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00092500,2016-07-11,2016-07-15,ADBE,C,6.17,29,1.2,1.19,1.2,1.19,7,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00095000,2016-07-11,2016-07-15,ADBE,C,6.33,387,0.59,0.59,0.69,0.57,34,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00097500,2016-07-11,2016-07-15,ADBE,C,6.5,429,0.18,0.17,0.22,0.16,68,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00100000,2016-07-11,2016-07-15,ADBE,C,6.67,479,0.02,0.03,0.03,0.02,44,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00105000,2016-07-11,2016-07-15,ADBE,C,7.0,25,0.0,0.01,0.01,0.0,5,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160715C00110000,2016-07-11,2016-07-15,ADBE,C,7.33,10,0.0,0.0,0.0,0.0,2,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
