ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD210813C00066000,2021-08-09,2021-08-13,HOOD,C,66.0,240.0,3.2,1.3,10.07,NO,2.17,3.63,1.15,1.92,3.2,1.15,118.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.75,0.18,2.17,5.34
O:HOOD210813C00066500,2021-08-09,2021-08-13,HOOD,C,66.5,105.0,2.6,1.1,10.91,NO,2.0,3.34,1.1,1.83,2.9,1.1,47.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.68,0.16,2.0,4.84
O:HOOD210813C00067000,2021-08-09,2021-08-13,HOOD,C,67.0,351.0,2.85,1.28,11.74,NO,2.0,3.34,1.0,1.67,3.0,1.0,144.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.83,0.17,2.0,5.0
O:HOOD210813C00067500,2021-08-09,2021-08-13,HOOD,C,67.5,136.0,2.6,1.14,12.58,NO,1.88,3.14,0.95,1.58,2.82,0.95,50.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.8,0.16,1.88,4.7
O:HOOD210813C00068000,2021-08-09,2021-08-13,HOOD,C,68.0,202.0,2.65,1.1,13.41,NO,1.84,3.06,0.93,1.55,2.74,0.93,96.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.82,0.15,1.84,4.57
O:HOOD210813C00068500,2021-08-09,2021-08-13,HOOD,C,68.5,225.0,2.4,1.04,14.24,NO,1.74,2.89,0.9,1.5,2.57,0.9,64.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.83,0.14,1.74,4.29
O:HOOD210813C00069000,2021-08-09,2021-08-13,HOOD,C,69.0,157.0,2.3,1.05,15.08,NO,1.7,2.84,0.9,1.5,2.5,0.9,49.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.88,0.14,1.7,4.17
O:HOOD210813C00069500,2021-08-09,2021-08-13,HOOD,C,69.5,89.0,1.8,0.9,15.91,NO,1.62,2.71,0.85,1.42,2.4,0.85,40.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.82,0.13,1.62,4.0
O:HOOD210813C00070000,2021-08-09,2021-08-13,HOOD,C,70.0,5875.0,2.48,0.9,16.74,NO,1.7,2.83,0.75,1.25,2.64,0.75,1391.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.87,0.12,1.7,4.4
O:HOOD210813C00070500,2021-08-09,2021-08-13,HOOD,C,70.5,92.0,2.52,0.9,17.58,NO,1.64,2.73,0.75,1.25,2.52,0.75,52.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.91,0.12,1.64,4.2
O:HOOD210813C00071000,2021-08-09,2021-08-13,HOOD,C,71.0,149.0,1.75,0.8,18.41,NO,1.46,2.44,0.73,1.22,2.2,0.73,58.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.88,0.11,1.46,3.67
O:HOOD210813C00071500,2021-08-09,2021-08-13,HOOD,C,71.5,57.0,1.8,0.75,19.25,NO,1.27,2.13,0.7,1.17,1.85,0.7,20.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.88,0.1,1.27,3.09
O:HOOD210813C00072000,2021-08-09,2021-08-13,HOOD,C,72.0,672.0,2.0,0.76,20.08,NO,1.36,2.27,0.67,1.12,2.05,0.67,87.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.92,0.1,1.36,3.42
