symbol,year,date_only,expiration_date,strike,underlying_spot,underlying_spot_at_expiry,probability_itm,actually_itm,premium,premium_yield_pct
GOOG,2022,2022-06-27,2022-07-01,124.5,119.25,109.8064,0.0513,False,0.205,0.17
GOOG,2022,2022-07-18,2022-07-22,117.5,114.8,113.18,0.0588,False,0.5349999999999999,0.47
GOOG,2022,2022-07-18,2022-07-22,118.0,114.8,113.18,0.0562,False,0.475,0.41
GOOG,2022,2022-07-25,2022-07-29,122.5,110.58,116.9,0.0574,False,0.3,0.27
GOOG,2022,2022-07-25,2022-07-29,123.0,110.58,116.9,0.0514,False,0.235,0.21
GOOG,2022,2022-08-01,2022-08-05,121.5,117.12,118.86,0.0583,False,0.15,0.13
GOOG,2022,2022-08-08,2022-08-12,124.5,120.86,122.65,0.0561,False,0.2249999999999999,0.19
GOOG,2022,2022-08-08,2022-08-12,125.0,120.86,122.65,0.0532,False,0.1999999999999999,0.17
GOOG,2022,2022-08-22,2022-08-26,121.5,116.5,116.6,0.0557,False,0.165,0.14
GOOG,2022,2022-08-29,2022-09-02,117.0,111.96,111.675,0.0577,False,0.2249999999999999,0.2
GOOG,2022,2022-09-19,2022-09-23,110.0,104.02,100.11,0.0572,False,0.125,0.12
GOOG,2022,2022-09-26,2022-09-30,106.0,100.44,99.494,0.0511,False,0.18,0.18
GOOG,2022,2022-10-03,2022-10-07,106.0,99.97,101.42,0.0538,False,0.075,0.08
GOOG,2022,2022-10-24,2022-10-28,115.0,103.1,96.86,0.0597,False,0.19,0.18
GOOG,2022,2022-11-21,2022-11-25,101.0,98.72,98.94,0.0508,False,0.25,0.25
GOOG,2022,2022-11-28,2022-12-02,102.0,97.83,101.15,0.0558,False,0.145,0.15
GOOG,2022,2022-12-05,2022-12-09,106.0,101.7499,94.49,0.0535,False,0.125,0.12
GOOG,2022,2022-12-19,2022-12-23,95.0,91.2,90.1,0.0508,False,0.175,0.19
GOOG,2023,2023-01-30,2023-02-03,111.0,99.4088,108.02,0.0544,False,0.23,0.23
GOOG,2023,2023-02-06,2023-02-10,112.0,104.7,97.02,0.0595,False,0.155,0.15
GOOG,2023,2023-02-27,2023-03-03,95.0,90.4499,94.11,0.0577,False,0.11,0.12
GOOG,2023,2023-03-20,2023-03-24,109.0,102.58,106.16,0.0586,False,0.145,0.14
GOOG,2023,2023-04-10,2023-04-14,113.0,107.97,109.58,0.0581,False,0.19,0.18
GOOG,2023,2023-04-24,2023-04-28,118.0,107.32,108.29,0.0592,False,0.195,0.18
GOOG,2023,2023-05-01,2023-05-05,113.0,108.68,106.44,0.0596,False,0.1149999999999999,0.11
GOOG,2023,2023-05-08,2023-05-12,115.0,108.42,118.26,0.0538,True,0.08,0.07
GOOG,2023,2023-05-22,2023-05-26,134.0,127.05,126.0,0.0505,False,0.165,0.13
GOOG,2023,2023-06-26,2023-06-30,126.0,122.72,122.03,0.0531,False,0.24,0.2
GOOG,2023,2023-07-03,2023-07-07,126.0,121.02,121.75,0.0542,False,0.09,0.07
GOOG,2023,2023-07-24,2023-07-28,138.0,123.35,134.07,0.0545,False,0.355,0.29
GOOG,2023,2023-08-07,2023-08-11,138.0,132.06,130.44,0.0504,False,0.07,0.05
GOOG,2023,2023-08-28,2023-09-01,139.0,133.24,138.58,0.0517,False,0.135,0.1
GOOG,2023,2023-09-25,2023-09-29,138.0,132.22,134.89,0.0518,False,0.08,0.06
GOOG,2023,2023-10-09,2023-10-13,145.0,139.97,141.34,0.0586,False,0.095,0.07
GOOG,2023,2023-11-27,2023-12-01,143.0,139.63,133.5,0.0583,False,0.19,0.14
GOOG,2024,2024-01-08,2024-01-12,146.0,140.64,144.74,0.0588,False,0.075,0.05
GOOG,2024,2024-01-29,2024-02-02,172.5,155.2,143.88,0.0532,False,0.225,0.14
GOOG,2024,2024-02-05,2024-02-09,152.5,146.67,150.695,0.0535,False,0.18,0.12
GOOG,2024,2024-02-26,2024-03-01,147.0,143.84,140.0,0.0591,False,0.265,0.18
GOOG,2024,2024-04-08,2024-04-12,165.0,156.655,161.7,0.0509,False,0.14,0.09
GOOG,2024,2024-04-22,2024-04-26,175.0,159.185,176.42,0.0519,True,0.29,0.18
GOOG,2024,2024-04-29,2024-05-03,177.5,171.38,169.85,0.0535,False,0.325,0.19
GOOG,2024,2024-06-03,2024-06-07,182.5,175.86,179.42,0.0546,False,0.125,0.07
GOOG,2024,2024-06-10,2024-06-14,185.0,178.47,178.73,0.0502,False,0.2199999999999999,0.12
GOOG,2024,2024-07-22,2024-07-26,205.0,184.3,169.84,0.0582,False,0.36,0.2
GOOG,2024,2024-09-23,2024-09-27,170.0,166.61,166.97,0.0572,False,0.355,0.21
GOOG,2024,2024-10-21,2024-10-25,172.5,166.22,167.4,0.055,False,0.13,0.08
GOOG,2024,2024-11-04,2024-11-08,180.0,171.92,182.35,0.0519,True,0.2299999999999999,0.13
GOOG,2024,2024-11-18,2024-11-22,185.0,176.91,168.2645,0.0599,False,0.125,0.07
GOOG,2024,2024-12-02,2024-12-06,180.0,173.6,176.8389,0.0567,False,0.115,0.07
GOOG,2024,2024-12-09,2024-12-13,185.0,178.04,194.34,0.0554,True,0.145,0.08
GOOG,2024,2024-12-23,2024-12-27,205.0,196.49,196.8,0.0562,False,0.26,0.13
GOOG,2025,2025-01-27,2025-01-31,207.5,198.67,207.08,0.0597,False,0.385,0.19
GOOG,2025,2025-02-03,2025-02-07,227.5,205.22,193.015,0.0565,False,0.5549999999999999,0.27
GOOG,2025,2025-02-10,2025-02-14,197.5,189.99,188.15,0.0599,False,0.255,0.13
GOOG,2025,2025-03-03,2025-03-07,180.0,175.0,176.9,0.054,False,0.505,0.29
GOOG,2025,2025-05-05,2025-05-09,175.0,167.1,156.43,0.0534,False,0.175,0.1
GOOG,2025,2025-06-02,2025-06-06,180.0,171.0624,175.83,0.0507,False,0.21,0.12
GOOG,2025,2025-06-23,2025-06-27,175.0,168.48,178.84,0.0504,True,0.24,0.14
GOOG,2025,2025-07-07,2025-07-11,187.5,180.34,182.61,0.0522,False,0.25,0.14
GOOG,2025,2025-07-21,2025-07-25,212.5,191.26,195.275,0.0547,False,0.3,0.16
GOOG,2025,2025-08-04,2025-08-08,207.5,196.08,203.43,0.0591,False,0.16,0.08
GOOG,2025,2025-08-25,2025-08-29,225.0,211.09,215.34,0.0526,False,0.22,0.1
GOOG,2025,2025-09-22,2025-09-26,267.5,256.31,250.12,0.0577,False,0.395,0.15
GOOG,2025,2025-09-29,2025-10-03,260.0,251.6483,247.1177,0.0502,False,0.495,0.2
GOOG,2025,2025-10-06,2025-10-10,270.0,252.2,244.84,0.0554,False,0.215,0.09
GOOG,2025,2025-10-20,2025-10-24,272.5,257.88,262.51,0.0523,False,0.2299999999999999,0.09
GOOG,2025,2025-11-24,2025-11-28,340.0,319.8,326.88,0.0525,False,0.31,0.1
GOOG,2025,2025-12-01,2025-12-05,335.0,319.63,323.83,0.0519,False,0.595,0.19
GOOG,2025,2025-12-08,2025-12-12,335.0,321.23,316.14,0.0531,False,0.5700000000000001,0.18
HOOD,2022,2022-01-10,2022-01-14,18.5,16.0,15.73,0.0553,False,0.095,0.59
HOOD,2022,2022-02-28,2022-03-04,14.0,12.095,11.6727,0.051,False,0.04,0.33
HOOD,2022,2022-03-07,2022-03-11,14.0,12.03,12.46,0.0503,False,0.07,0.58
HOOD,2022,2022-03-21,2022-03-25,15.5,13.3,12.98,0.0532,False,0.055,0.41
HOOD,2022,2022-03-28,2022-04-01,15.0,13.02,13.75,0.0577,False,0.045,0.35
HOOD,2022,2022-04-04,2022-04-08,17.0,13.93,11.69,0.0508,False,0.055,0.39
HOOD,2022,2022-04-18,2022-04-22,13.0,11.39,10.66,0.0502,False,0.045,0.4
HOOD,2022,2022-05-23,2022-05-27,12.0,10.115,10.42,0.0512,False,0.045,0.44
HOOD,2022,2022-06-27,2022-07-01,13.5,9.72,8.395,0.0572,False,0.165,1.7
HOOD,2022,2022-06-27,2022-07-01,14.0,9.72,8.395,0.0523,False,0.2,2.06
HOOD,2022,2022-08-01,2022-08-05,11.5,9.04,10.615,0.0587,False,0.045,0.5
HOOD,2022,2022-09-19,2022-09-23,12.0,10.295,9.58,0.0557,False,0.035,0.34
HOOD,2022,2022-09-26,2022-09-30,11.0,9.74,10.4787,0.0547,False,0.05,0.51
HOOD,2022,2022-10-10,2022-10-14,12.5,10.84,11.02,0.0506,False,0.035,0.32
HOOD,2022,2022-11-28,2022-12-02,10.5,9.54,10.05,0.0522,False,0.03,0.31
HOOD,2022,2022-12-05,2022-12-09,11.0,10.17,9.49,0.0518,False,0.035,0.34
HOOD,2022,2022-12-19,2022-12-23,9.5,8.56,8.0,0.052,False,0.03,0.35
HOOD,2023,2023-02-27,2023-03-03,11.0,9.875,9.95,0.0534,False,0.02,0.2
HOOD,2023,2023-04-24,2023-04-28,11.0,9.69,8.94,0.0589,False,0.02,0.21
HOOD,2023,2023-05-01,2023-05-05,9.5,8.85,8.86,0.053,False,0.025,0.28
HOOD,2023,2023-07-03,2023-07-07,12.5,10.8,10.91,0.0537,False,0.02,0.19
HOOD,2023,2023-12-04,2023-12-08,11.5,9.735,11.74,0.0508,True,0.025,0.26
HOOD,2023,2023-12-18,2023-12-22,14.0,11.98,13.15,0.06,False,0.05,0.42
HOOD,2024,2024-01-29,2024-02-02,13.0,11.33,11.0199,0.0575,False,0.02,0.18
HOOD,2024,2024-02-26,2024-03-01,18.5,15.61,16.6,0.0551,False,0.035,0.22
HOOD,2024,2024-02-26,2024-03-01,25.0,15.61,16.6,0.0552,False,0.22,1.41
HOOD,2024,2024-03-18,2024-03-22,21.0,18.41,18.946,0.0578,False,0.085,0.46
HOOD,2024,2024-04-08,2024-04-12,21.0,19.1,18.89,0.0552,False,0.1,0.52
HOOD,2024,2024-04-29,2024-05-03,19.5,18.29,18.135,0.06,False,0.11,0.6
HOOD,2024,2024-05-20,2024-05-24,25.0,20.89,20.565,0.054,False,0.1,0.48
HOOD,2024,2024-06-03,2024-06-07,25.5,22.4,23.69,0.0585,False,0.1,0.45
HOOD,2024,2024-06-10,2024-06-14,28.0,23.525,23.57,0.0555,False,0.055,0.23
HOOD,2024,2024-07-22,2024-07-26,26.5,24.02,21.985,0.0548,False,0.095,0.4
HOOD,2024,2024-07-29,2024-08-02,24.0,21.84,19.29,0.05,False,0.09,0.41
HOOD,2024,2024-08-19,2024-08-23,22.0,20.31,21.21,0.0591,False,0.04,0.2
HOOD,2024,2024-09-09,2024-09-13,22.0,19.83,22.43,0.0571,True,0.045,0.23
HOOD,2024,2024-10-07,2024-10-11,25.5,23.425,26.65,0.0502,True,0.04,0.17
HOOD,2024,2024-10-21,2024-10-25,29.5,27.105,27.75,0.0551,False,0.04,0.15
HOOD,2024,2024-10-28,2024-11-01,33.5,28.23,24.1178,0.0596,False,0.13,0.46
HOOD,2024,2024-10-28,2024-11-01,34.0,28.23,24.1178,0.0524,False,0.11,0.39
HOOD,2024,2024-11-04,2024-11-08,27.5,24.56,30.63,0.0537,True,0.075,0.31
HOOD,2024,2024-11-18,2024-11-22,41.5,35.615,36.835,0.0513,False,0.075,0.21
HOOD,2024,2024-11-25,2024-11-29,43.0,39.74,39.145,0.0574,False,0.28,0.7
HOOD,2024,2024-12-02,2024-12-06,45.0,38.79,41.71,0.0529,False,0.175,0.45
HOOD,2024,2024-12-23,2024-12-27,41.5,38.5,40.44,0.0527,False,0.1699999999999999,0.44
HOOD,2024,2024-12-30,2025-01-03,42.5,38.96,41.38,0.0563,False,0.1,0.26
HOOD,2025,2025-01-06,2025-01-10,47.5,43.12,40.53,0.0565,False,0.095,0.22
HOOD,2025,2025-01-06,2025-01-10,48.0,43.12,40.53,0.0525,False,0.08,0.19
HOOD,2025,2025-01-27,2025-01-31,54.0,50.145,53.49,0.0505,False,0.3349999999999999,0.67
HOOD,2025,2025-02-10,2025-02-14,71.0,57.27,66.0799,0.0539,False,0.305,0.53
HOOD,2025,2025-03-03,2025-03-07,56.0,54.8399,45.37,0.0557,False,0.915,1.67
HOOD,2025,2025-03-10,2025-03-14,45.0,41.1974,39.46,0.0569,False,0.505,1.23
HOOD,2025,2025-03-31,2025-04-04,48.5,41.95,36.25,0.0563,False,0.08,0.19
HOOD,2025,2025-04-21,2025-04-25,46.0,41.559,49.99,0.0576,True,0.16,0.38
HOOD,2025,2025-05-05,2025-05-09,55.0,48.34,56.315,0.0566,True,0.105,0.22
HOOD,2025,2025-05-19,2025-05-23,73.0,64.36,64.46,0.0592,False,0.145,0.23
HOOD,2025,2025-06-09,2025-06-13,85.0,73.73,74.8197,0.0523,False,0.26,0.35
HOOD,2025,2025-06-23,2025-06-27,85.0,79.045,84.88,0.0552,False,0.315,0.4
HOOD,2025,2025-07-07,2025-07-11,107.0,95.7,101.5,0.056,False,0.41,0.43
HOOD,2025,2025-07-21,2025-07-25,118.0,110.31,106.39,0.0511,False,0.635,0.58
HOOD,2025,2025-07-21,2025-07-25,119.0,110.31,106.39,0.0501,False,0.4549999999999999,0.41
HOOD,2025,2025-07-28,2025-08-01,129.0,107.13,104.59,0.0534,False,0.35,0.33
HOOD,2025,2025-08-04,2025-08-08,121.0,106.79,117.0,0.0519,False,0.14,0.13
HOOD,2025,2025-08-18,2025-08-22,127.0,115.09,111.8825,0.0508,False,0.26,0.23
HOOD,2025,2025-08-25,2025-08-29,123.0,109.85,104.4,0.0553,False,0.325,0.3
HOOD,2025,2025-09-22,2025-09-26,140.0,126.64,125.06,0.0543,False,0.245,0.19
HOOD,2025,2025-09-29,2025-10-03,157.5,136.84,150.21,0.05,False,0.175,0.13
HOOD,2025,2025-10-20,2025-10-24,152.5,140.198,142.1999,0.0521,False,0.44,0.31
HOOD,2025,2025-10-27,2025-10-31,165.0,149.2,150.47,0.0535,False,0.505,0.34
HOOD,2025,2025-11-03,2025-11-07,177.5,149.4124,132.2,0.0515,False,0.7350000000000001,0.49
HOOD,2025,2025-11-10,2025-11-14,152.5,138.99,126.5,0.0577,False,0.47,0.34
HOOD,2025,2025-12-01,2025-12-05,138.0,125.2899,135.24,0.0567,False,0.295,0.24
HOOD,2025,2025-12-01,2025-12-05,139.0,125.2899,135.24,0.054,False,0.305,0.24
HOOD,2025,2025-12-08,2025-12-12,152.5,138.09,125.65,0.0551,False,0.31,0.22
HOOD,2025,2025-12-22,2025-12-26,133.0,124.55,121.03,0.0534,False,0.345,0.28
IWM,2022,2022-01-03,2022-01-07,248.0,226.69,220.38,0.0547,False,0.36,0.16
IWM,2022,2022-01-24,2022-01-28,216.0,202.39,195.31,0.0589,False,0.15,0.07
IWM,2022,2022-01-31,2022-02-04,212.0,201.24,200.1,0.0539,False,0.12,0.06
IWM,2022,2022-02-28,2022-03-04,214.0,204.6,200.86,0.0519,False,0.21,0.1
IWM,2022,2022-04-18,2022-04-22,206.0,199.18,197.37,0.0559,False,0.2,0.1
IWM,2022,2022-04-25,2022-04-29,204.0,194.11,191.73,0.0537,False,0.155,0.08
IWM,2022,2022-05-09,2022-05-13,188.0,182.6534,179.41,0.0577,False,0.5,0.27
IWM,2022,2022-05-09,2022-05-13,189.0,182.6534,179.41,0.0514,False,0.35,0.19
IWM,2022,2022-05-23,2022-05-27,188.0,178.96,187.65,0.0598,False,0.225,0.13
IWM,2022,2022-05-23,2022-05-27,189.0,178.96,187.65,0.0513,False,0.205,0.11
IWM,2022,2022-06-27,2022-07-01,185.0,176.99,171.84,0.0546,False,0.2,0.11
IWM,2022,2022-08-01,2022-08-05,196.0,188.32,191.02,0.0511,False,0.095,0.05
IWM,2022,2022-08-08,2022-08-12,201.0,194.625,200.43,0.054,False,0.22,0.11
IWM,2022,2022-08-22,2022-08-26,199.0,192.35,195.44,0.056,False,0.22,0.11
IWM,2022,2022-08-22,2022-08-26,200.0,192.35,195.44,0.0518,False,0.15,0.08
IWM,2022,2022-08-29,2022-09-02,196.0,188.99,183.95,0.0514,False,0.225,0.12
IWM,2022,2022-10-24,2022-10-28,184.0,174.0,183.41,0.0568,False,0.18,0.1
IWM,2022,2022-12-19,2022-12-23,180.0,175.0529,174.45,0.0517,False,0.28,0.16
IWM,2023,2023-01-09,2023-01-13,187.0,180.12,187.34,0.0528,True,0.24,0.13
IWM,2023,2023-02-06,2023-02-10,202.0,196.38,190.63,0.0558,False,0.205,0.1
